date,close,open,high,low,volu,e%
20210309,879.0,860.0,885.0,854.0,12.21,	-5.08%
20210310,864.0,890.0,892.0,860.0,7.124,	0.43%
20210309,879.0,860.0,885.0,854.0,7.5,	-2.59%
20210308,867.0,901.0,909.0,866.0,7.8,	1.47%
20210305,883.0,877.0,892.0,870.0,14.0,  3.01%
20210304,897.0,919.0,919.0,895.0,7.99,	-1.43%
20210303,930.0,915.0,930.0,895.0,6.38,	-0.20%
20210302,900.0,920.0,939.0,900.0,11.81,	3.16%
2021-2-26,896.0,923.0,931.0,896.0,15.51,	0.42%
2021-2-25,944.0,950.0,955.0,931.0,13.25,	-0.42%
2021-2-24,940.0,948.0,967.0,940.0,10.96,	2.04%
2021-2-23,965.0,945.0,968.0,932.0,14.59,	2.87%
2021-2-22,951.0,972.0,980.0,951.0,13.64,	3.43%
2021-2-19,964.0,971.0,975.0,953.0,18.26,	0.69%
2021-2-18,978.0,980.0,987.0,968.0,17.85,	-3.12%
2021-2-17,980.0,995.0,1005.0,972.0,11.03,	2.99%
2021-2-5,950.0,955.0,987.0,950.0,10.16,	-4.29%
2021-2-4,946.0,933.0,953.0,915.0,9.04,	-0.76%
2021-2-3,950.0,947.0,959.0,942.0,16.58,	-1.82%
2021-2-2,931.0,925.0,952.0,920.0,17.72,	7.11%
2021-2-1,905.0,886.0,909.0,875.0,11.11,	-0.80%
2021-1-29,875.0,889.0,903.0,875.0,7.98,	4.15%
2021-1-28,869.0,866.0,880.0,863.0,8.94,	-0.71%
2021-1-27,897.0,881.0,905.0,871.0,10.0,	-1.28%
2021-1-26,871.0,914.0,922.0,871.0,11.36,	-2.60%
2021-1-25,910.0,917.0,925.0,891.0,15.44,	4.49%
2021-1-22,917.0,914.0,946.0,908.0,10.38,	-0.59%
2021-1-21,934.0,890.0,935.0,888.0,8.0,	1.55%
2021-1-20,872.0,885.0,898.0,870.0,13.34,	4.88%
2021-1-19,879.0,861.0,880.0,854.0,7.51,	0.88%
2021-1-18,844.0,850.0,851.0,817.0,9.33,	-0.63%
2021-1-15,850.0,878.0,882.0,842.0,9.26,	0.63%
2021-1-14,861.0,872.0,881.0,854.0,14.14,	6.02%
2021-1-13,884.0,855.0,899.0,850.0,4.67,	0.13%
2021-1-12,846.0,857.0,868.0,842.0,5.67,	1.63%
2021-1-11,851.0,843.0,856.0,835.0,4.62,	-0.81%
2021-1-8,838.0,810.0,844.0,802.0,10.68,	3.50%
2021-1-7,799.0,794.0,808.0,785.0,2.22,	0.14%
2021-1-6,792.0,802.0,814.0,785.0,3.36,	-0.83%
2021-1-5,797.0,796.0,804.0,775.0,5.39,	2.42%
2021-1-4,792.0,755.0,798.0,752.0,6.46,	-0.71%
2020-12-31,747.0,747.0,753.0,742.0,5.41,	1.29%
2020-12-30,746.0,740.0,746.0,735.0,4.93,	-0.71%
2020-12-29,734.0,741.0,746.0,734.0,6.02,	0.43%
2020-12-28,740.0,724.0,741.0,723.0,6.28,	0.00%
2020-12-25,715.0,720.0,722.0,712.0,5.13,	-0.14%
2020-12-24,714.0,724.0,725.0,714.0,3.92,	-0.71%
2020-12-23,720.0,708.0,722.0,705.0,7.74,	-0.28%
2020-12-22,703.0,708.0,722.0,703.0,7.83,	-3.41%
2020-12-21,708.0,698.0,708.0,689.0,7.93,	0.55%
2020-12-18,699.0,704.0,708.0,699.0,10.09,	3.69%
2020-12-17,704.0,703.0,711.0,699.0,5.51,	-0.14%
2020-12-16,701.0,711.0,714.0,701.0,5.45,	0.71%
2020-12-15,701.0,702.0,706.0,696.0,7.04,	-1.69%
2020-12-14,702.0,706.0,710.0,699.0,8.41,	2.15%
2020-12-11,707.0,720.0,722.0,701.0,8.55,	-0.99%
2020-12-10,709.0,730.0,730.0,706.0,14.28,	-2.90%
2020-12-9,734.0,735.0,746.0,730.0,3.52,	-0.68%
2020-12-8,730.0,703.0,731.0,702.0,3.67,	0.83%
2020-12-7,704.0,705.0,708.0,695.0,7.17,	-2.43%
