date,close,open,high,low,volu,e%
20210310,830.0,860.0,864.0,826.0,2.64,	-2.8%
20210310,830.0,860.0,864.0,826.0,2.27,	3.41%
20210309,845.0,830.0,852.0,821.0,2.35,	-4.76%
20210308,830.0,870.0,888.0,830.0,2.6,	0.54%
20210305,830.0,816.0,848.0,810.0,7.0, 4.7%
20210304,833.0,844.0,858.0,818.0,5.6,	-6.06%
20210303,848.0,888.0,891.0,842.0,7.9,	9.90%
20210302,877.0,912.0,934.0,874.0,3.22,	9.90%
2021-2-26,885.0,886.0,904.0,873.0,2.4,	2.60%
2021-2-25,911.0,905.0,914.0,885.0,2.9,	-4.03%
2021-2-24,881.0,920.0,931.0,881.0,3.25,	-0.90%
2021-2-23,925.0,908.0,925.0,884.0,4.9,	-1.20%
2021-2-22,920.0,937.0,958.0,915.0,4.22,	1.30%
2021-2-19,915.0,984.0,1000.0,898.0,4.25,	-4.40%
2021-2-18,974.0,935.0,974.0,907.0,4.04,	2.70%
2021-2-17,886.0,870.0,886.0,852.0,2.4,	1.60%
2021-2-5,806.0,780.0,809.0,780.0,4.5,	-7.70%
2021-2-4,785.0,811.0,817.0,785.0,1.16,	-2.19%
2021-2-3,818.0,844.0,850.0,803.0,995.9,	2.23%
2021-2-2,826.0,844.0,873.0,818.0,1.5,	9.02%
2021-2-1,836.0,825.0,843.0,783.0,1.4,	-3.07%
2021-1-29,825.0,872.0,878.0,820.0,1.14,	4.70%
2021-1-28,863.0,815.0,886.0,810.0,1.6,	1.70%
2021-1-27,840.0,845.0,850.0,821.0,2.6,	5.70%
2021-1-26,826.0,890.0,934.0,822.0,1.1,	-2.90%
2021-1-25,895.0,941.0,941.0,889.0,1.3,	0.25%
2021-1-22,915.0,874.0,942.0,874.0,1.7,	-6.60%
2021-1-21,895.0,835.0,903.0,835.0,4.6,	3.50%
2021-1-20,821.0,867.0,867.0,811.0,6.7,	0.25%
2021-1-19,847.0,809.0,847.0,809.0,7.3,	9.30%
2021-1-18,809.0,800.0,830.0,800.0,9.7,	0.50%
2021-1-15,795.0,780.0,801.0,750.0,11.15,	6.25%
2021-1-14,752.0,775.0,788.0,752.0,10.6,	9.90%
2021-1-13,775.0,784.0,792.0,756.0,2.9,	0.60%
2021-1-12,773.0,826.0,826.0,750.0,2.3,	1.40%
2021-1-11,828.0,797.0,840.0,792.0,1.6,	0.16%
2021-1-8,800.0,808.0,835.0,781.0,1.9,	-0.30%
2021-1-7,798.0,750.0,798.0,739.0,2.09,	-1.25%
2021-1-6,730.0,742.0,770.0,717.0,2.4,	1.80%
2021-1-5,726.0,683.0,738.0,669.0,3.4,	0.00%
2021-1-4,683.0,627.0,683.0,623.0,4.4,	-5.60%
2020-12-31,621.0,625.0,633.0,613.0,5.8,	1.90%
2020-12-30,617.0,610.0,625.0,607.0,5.16,	2.70%
2020-12-29,608.0,610.0,614.0,603.0,4.4,	-0.40%
2020-12-28,607.0,614.0,624.0,606.0,7.7,	4.70%
2020-12-25,609.0,622.0,623.0,607.0,3.15,	-2.90%
2020-12-24,617.0,612.0,620.0,604.0,2.9,	1.30%
2020-12-23,606.0,611.0,617.0,595.0,4.3,	-4.60%
2020-12-22,606.0,633.0,636.0,603.0,3.24,	1.13%
2020-12-21,642.0,630.0,647.0,624.0,3.4,	0.40%
2020-12-18,630.0,620.0,639.0,614.0,3.8,	1.15%
2020-12-17,613.0,625.0,629.0,605.0,4.5,	0.90%
2020-12-16,616.0,598.0,640.0,595.0,4.6,	-4.70%
2020-12-15,588.0,610.0,611.0,584.0,4.8,	1.12%
2020-12-14,606.0,601.0,622.0,601.0,4.24,	-2.70%
2020-12-11,598.0,633.0,634.0,596.0,4.5,	-3.40%
2020-12-10,627.0,615.0,627.0,605.0,6.9,	5.20%
2020-12-9,620.0,620.0,634.0,618.0,3.7,	0.00%
2020-12-8,617.0,606.0,627.0,598.0,4.4,	0.70%
2020-12-7,610.0,609.0,614.0,586.0,5.15,	-3.30%
2020-12-4,604.0,634.0,640.0,601.0,6.0,	-1.50%
2020-12-3,634.0,627.0,646.0,625.0,10.8,	4.90%
2020-12-2,627.0,654.0,655.0,623.0,7.3,	4.40%
2020-12-1,645.0,668.0,671.0,636.0,4.3,	-1.40%
2020-11-30,668.0,634.0,673.0,631.0,3.5,	1.60%
2020-11-27,635.0,631.0,640.0,620.0,8.7,	2.50%
2020-11-26,635.0,635.0,650.0,626.0,4.1,	2.60%
2020-11-25,630.0,663.0,665.0,627.0,3.21,	0.17%
2020-11-24,652.0,675.0,679.0,644.0,5.0,	-2.70%
2020-11-23,662.0,641.0,683.0,632.0,8.7,	0.60%
2020-11-20,631.0,609.0,631.0,598.0,13.4,	-1.80%
2020-11-19,604.0,621.0,621.0,593.0,16.21,	2.50%
2020-11-18,613.0,613.0,624.0,608.0,14.19,	9.80%
2020-11-17,603.0,606.0,631.0,600.0,10.9,	9.70%
2020-11-16,588.0,586.0,604.0,586.0,6.6,	0.10%
2020-11-13,573.0,580.0,589.0,573.0,7.25,	4.40%
2020-11-12,572.0,593.0,607.0,572.0,8.4,	-5.06%
2020-11-11,588.0,585.0,602.0,575.0,4.04,	-3.10%
2020-11-10,584.0,597.0,629.0,563.0,6.5,	2.04%
2020-11-9,595.0,615.0,632.0,578.0,6.12,	-3.30%
2020-11-6,580.0,530.0,580.0,528.0,8.15,	3.15%
2020-11-5,528.0,484.5,529.0,484.0,7.25,	-6.90%
2020-11-4,481.0,486.5,489.5,473.0,5.25,	1.50%
2020-11-3,480.5,472.5,484.0,466.0,5.4,	-0.50%
2020-11-2,460.0,480.0,492.0,458.0,7.9,	3.16%
2020-10-30,484.5,499.5,502.0,484.0,6.23,	3.40%
2020-10-29,500.0,478.5,500.0,476.0,6.6,	-2.00%
2020-10-28,490.0,502.0,506.0,490.0,6.6,	-8.70%
